"id","feat_1","feat_2","feat_3","feat_4","feat_5","feat_6","feat_7","feat_8","feat_9","feat_10","feat_11","feat_12","feat_13","feat_14","feat_15","feat_16","feat_17","feat_18","feat_19","feat_20","feat_21","feat_22","feat_23","feat_24","feat_25","feat_26","feat_27","feat_28","feat_29","feat_30","feat_31","feat_32","feat_33","feat_34","feat_35","feat_36","feat_37","feat_38","feat_39","feat_40","feat_41","feat_42","feat_43","feat_44","feat_45","feat_46","feat_47","feat_48","feat_49","feat_50","feat_51","feat_52","feat_53","feat_54","feat_55","feat_56","feat_57","feat_58","feat_59","feat_60","feat_61","feat_62","feat_63","feat_64","feat_65","feat_66","feat_67","feat_68","feat_69","feat_70","feat_71","feat_72","feat_73","feat_74","feat_75","feat_76","feat_77","feat_78","feat_79","feat_80","feat_81","feat_82","feat_83","feat_84","feat_85","feat_86","feat_87","feat_88","feat_89","feat_90","feat_91","feat_92","feat_93"
40,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
42,1,0,42,1,2,0,1,5,0,1,0,0,0,0,0,1,1,0,2,1,0,1,0,0,1,45,0,0,7,0,1,1,1,2,1,6,29,3,1,0,0,41,3,2,1,0,0,5,0,53,0,0,6,0,1,0,0,0,5,0,0,7,6,1,0,0,0,0,0,0,0,4,3,0,4,0,1,0,9,1,0,1,1,0,0,0,0,0,0,10,0,1,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,0,1,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,11,0,1,1,0,4,1,1,1,0,0,5,0,0,0,1,2,3,3,1,0,0,3,1,0,0,1,0,1,0,0,0,0,2,2,2,11,0,1,0,0,1,0,2,0,1,0,0,0,0,0,5,0,0,2,0
45,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,0,0,0,0,14,0,2,0,0,0,2,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,1,0,1,0,0,11,0,0,81,0,0,0,0,0,0,0,1,0,0,0,0,27,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0
47,1,0,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,60,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48,0,0,0,0,1,0,1,1,0,0,0,1,3,1,0,1,0,0,1,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,3,2,0,2,0,10,0,0,1,0,0,0,1,3,1,3,0,0,1,2,0,0,0,0,1,2,0,2,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0
49,1,3,0,0,6,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,4,2,0,0,0,0,0,0,15,0,0,0,0,3,5,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
50,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,6,8,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
52,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,24,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,1,7,0,0,0
54,2,2,0,3,14,1,1,4,2,0,5,0,0,0,15,1,0,4,0,0,8,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,2,0,8,0,0,3,0,2,0,0,0,0,3,3,0,0,0,1,1,0,5,2,0,0,1,1,1,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,1,2,0,1,0
55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,15,2,4,1,0,0,0,0,0,20,1,0,0,0,2,2,3,7,0,0,2,2,4,0,0,1,0,0,0,1,0,0,6,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,5,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0
58,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,18,1,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,1,5,1,1,0
59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,31,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
62,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,4,1,1,1,0,0,0,0,0,1,7,0,0,1,0,0,0,0,4,1,6,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,7,1,9,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
63,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,7,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,5,0,0,18,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
64,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,9,0,13,0,0,0,0,0,0,1,2,0,0,0,0,2,9,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,20,0,0,5,1,0,0,1,2,0,0,0,0,3,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,4,0,0,0,1,2,0,0,0,1
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
66,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,11,0,0,0
67,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,2,1,4,0,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,3,1,0,2,1,11,1,0,0,0,0,0,11,0,1,0,0,0,0,0,0,2
68,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,1,1,1,0,1,0,0,4,1,0,0,0,0,0,1,1,0,0,0,1,0,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1
69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
